,水月通量,沙月通量
2022-01-01,2921396959.5715065,5807133965.43573
2022-02-01,6021778033.1854315,5959635066.946817
2022-03-01,6717600030.130395,12032661381.905018
2022-04-01,5710962718.386064,8571767116.992506
2022-05-01,6473826890.867006,14782034480.078041
2022-06-01,9290371776.28984,19340344098.09375
2022-07-01,10642480161.712095,26719377660.367912
2022-08-01,7758674364.89098,4285831557.2830772
2022-09-01,8898177069.224953,16708880807.989815
2022-10-01,11782895515.940111,41322104591.57262
2022-11-01,8142943767.270477,11549182515.466644
2022-12-01,6843247221.835773,5121517825.363701
2023-01-01,6678710595.505163,4636535473.023055
2023-02-01,8580530027.284014,4390624916.6333275
2023-03-01,9924597289.668905,7540780065.25372
2023-04-01,9647400534.775509,5222193143.73066
2023-05-01,10425982728.286907,8451070792.955863
2023-06-01,12692218580.195557,10732370719.158907
2023-07-01,14131558823.37838,14631663067.183588
2023-08-01,11700627553.756113,1430193654.0967445
2023-09-01,13013023290.338152,8222778413.43614
2023-10-01,15693578761.793053,22007756075.974792
2023-11-01,12017673106.288332,4596355103.229851
2023-12-01,10953256076.019484,576002112.2019653
